TransactionID,id_01,id_02,DeviceType,DeviceInfo
3000000,-26.352682538092722,85800.62687965024,mobile,MacOS
3000001,-94.83426428853589,40209.393266111205,desktop,MacOS
3000002,-95.07055072355836,20716.532862109634,desktop,Windows
3000003,-61.371229485445475,43054.623951809765,desktop,MacOS
3000004,-64.65268079392794,39169.69764767526,desktop,Windows
3000005,-68.43667846328478,91626.20394520364,mobile,Windows
3000006,-50.898023733109,76431.50319856661,mobile,nan
3000007,-67.92664176884287,51006.44001865663,desktop,Windows
3000008,-80.77420815319081,98848.68610543554,mobile,Windows
3000009,-69.05304509113991,47062.475596316406,desktop,iOS Device
3000010,-2.5095727189765,6765.545251207248,desktop,MacOS
3000011,-58.88865830051514,26965.157859683502,desktop,Windows
3000012,-55.52872231416642,44170.977541711945,mobile,MacOS
3000013,-42.345501004885996,16533.35979046589,mobile,Windows
3000014,-1.6659231585773426,94808.94750608025,mobile,nan
3000015,-75.8398723564237,76918.04088395953,mobile,iOS Device
3000016,-31.871788946756624,27560.43284234949,mobile,Windows
3000017,-28.40153064582759,59489.648818273665,desktop,MacOS
3000018,-39.26755832069341,72423.46655384763,desktop,nan
3000019,-91.1421660363356,94186.61396177301,mobile,MacOS
3000020,-32.31277241724236,88281.89956836565,mobile,nan
3000021,-93.59052889638245,52004.03038768315,mobile,iOS Device
3000022,-40.38573504501031,77690.60935950874,desktop,nan
3000023,-26.041882277825735,56652.33062893091,mobile,MacOS
3000024,-78.90301093800495,55717.68511450847,desktop,MacOS
3000025,-15.837799245722593,12359.453875480998,desktop,Windows
3000026,-96.96461944669957,13487.628143599055,mobile,nan
3000027,-15.618713634169396,53423.827887223284,desktop,MacOS
3000028,-53.967094935723495,27617.292952921653,desktop,Windows
3000029,-78.24120600683555,3082.6533435863944,mobile,iOS Device
3000030,-86.6221855006032,72561.08118612101,desktop,MacOS
3000031,-4.6692832417627415,4216.173072326331,mobile,Windows
3000032,-92.73344124188432,59932.4072693014,desktop,MacOS
3000033,-80.09065800640744,54380.185618604126,mobile,nan
3000034,-65.2177652566954,96912.65436720265,mobile,Windows
3000035,-37.976515103887955,48937.100795416525,desktop,nan
3000036,-45.519891472390164,7296.542201401939,mobile,iOS Device
